epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.31516,2.66074,0.4026,0.80519,1.93652,0.000181121,0.000181121,0.000181121
2,4.98653,1.80258,0.83117,0.99351,0.80332,0.000362827,0.000362827,0.000362827
3,6.49507,1.02066,0.9026,0.98701,0.3385,0.000540862,0.000540862,0.000540862
4,7.98106,0.5846,0.94156,1,0.15204,0.000539487,0.000539487,0.000539487
5,9.63719,0.38424,0.97403,1,0.07007,0.000533982,0.000533982,0.000533982
6,11.192,0.27868,0.97403,1,0.05694,0.000528478,0.000528478,0.000528478
7,12.8722,0.24095,0.99351,1,0.02542,0.000522974,0.000522974,0.000522974
8,14.3692,0.29406,1,1,0.00706,0.000517469,0.000517469,0.000517469
9,15.9898,0.20481,1,1,0.01415,0.000511965,0.000511965,0.000511965
10,17.5892,0.19422,0.98701,1,0.02993,0.00050646,0.00050646,0.00050646
11,19.1627,0.16102,1,1,0.01789,0.000500956,0.000500956,0.000500956
12,20.8879,0.12255,0.99351,1,0.0163,0.000495452,0.000495452,0.000495452
13,22.4264,0.15746,0.99351,1,0.00983,0.000489947,0.000489947,0.000489947
14,24.0455,0.15218,1,1,0.00744,0.000484443,0.000484443,0.000484443
15,25.5169,0.16041,1,1,0.01081,0.000478938,0.000478938,0.000478938
16,26.7585,0.13056,0.99351,1,0.01481,0.000473434,0.000473434,0.000473434
17,28.1463,0.17392,1,1,0.00478,0.00046793,0.00046793,0.00046793
18,29.822,0.10363,1,1,0.0022,0.000462425,0.000462425,0.000462425
19,31.4703,0.09893,1,1,0.00327,0.000456921,0.000456921,0.000456921
20,33.0589,0.09845,1,1,0.00385,0.000451416,0.000451416,0.000451416
21,34.6719,0.15106,1,1,0.00454,0.000445912,0.000445912,0.000445912
22,36.2049,0.10939,1,1,0.00321,0.000440408,0.000440408,0.000440408
23,37.7048,0.11383,1,1,0.00274,0.000434903,0.000434903,0.000434903
24,39.2545,0.10789,0.99351,1,0.01427,0.000429399,0.000429399,0.000429399
25,40.7891,0.09808,0.99351,1,0.02096,0.000423894,0.000423894,0.000423894
26,42.364,0.11191,0.99351,1,0.00813,0.00041839,0.00041839,0.00041839
27,43.8278,0.08062,0.99351,1,0.00957,0.000412886,0.000412886,0.000412886
28,45.3616,0.07058,1,1,0.00264,0.000407381,0.000407381,0.000407381
29,46.9605,0.07528,1,1,0.0018,0.000401877,0.000401877,0.000401877
30,48.486,0.06823,1,1,0.00141,0.000396372,0.000396372,0.000396372
31,50.1343,0.10111,1,1,0.00107,0.000390868,0.000390868,0.000390868
32,51.6576,0.10452,1,1,0.00037,0.000385364,0.000385364,0.000385364
33,53.1536,0.0928,1,1,0.00108,0.000379859,0.000379859,0.000379859
34,54.6813,0.06353,1,1,0.00075,0.000374355,0.000374355,0.000374355
35,56.2697,0.08619,1,1,0.00166,0.00036885,0.00036885,0.00036885
36,57.8078,0.0843,1,1,0.00194,0.000363346,0.000363346,0.000363346
37,59.481,0.06137,1,1,0.00121,0.000357842,0.000357842,0.000357842
38,61.0059,0.062,1,1,0.0026,0.000352337,0.000352337,0.000352337
39,62.5086,0.08301,1,1,0.00458,0.000346833,0.000346833,0.000346833
40,64.0812,0.05522,1,1,0.00469,0.000341328,0.000341328,0.000341328
41,65.6177,0.05542,1,1,0.00662,0.000335824,0.000335824,0.000335824
42,67.3008,0.07893,1,1,0.00201,0.00033032,0.00033032,0.00033032
43,68.779,0.04318,0.99351,1,0.0154,0.000324815,0.000324815,0.000324815
44,70.1709,0.0549,1,1,0.00252,0.000319311,0.000319311,0.000319311
45,71.6553,0.05655,1,1,0.00137,0.000313806,0.000313806,0.000313806
46,73.2261,0.05254,1,1,0.00386,0.000308302,0.000308302,0.000308302
47,74.7225,0.04115,1,1,0.00062,0.000302798,0.000302798,0.000302798
48,76.2709,0.06399,0.99351,1,0.0148,0.000297293,0.000297293,0.000297293
49,77.7454,0.03405,0.99351,1,0.00614,0.000291789,0.000291789,0.000291789
50,79.2719,0.07068,1,1,0.00061,0.000286284,0.000286284,0.000286284
51,80.8898,0.04842,1,1,0.00018,0.00028078,0.00028078,0.00028078
52,82.5878,0.04945,1,1,0.00039,0.000275276,0.000275276,0.000275276
53,84.2077,0.05272,1,1,0.00033,0.000269771,0.000269771,0.000269771
54,85.8771,0.07993,1,1,0.00059,0.000264267,0.000264267,0.000264267
55,87.4461,0.04399,1,1,0.0008,0.000258762,0.000258762,0.000258762
56,89.0189,0.05154,1,1,0.00031,0.000253258,0.000253258,0.000253258
57,90.4692,0.0537,1,1,0.00057,0.000247754,0.000247754,0.000247754
58,92.1121,0.04906,1,1,0.00051,0.000242249,0.000242249,0.000242249
59,93.5419,0.05695,1,1,0.00038,0.000236745,0.000236745,0.000236745
60,95.1647,0.04081,1,1,0.00059,0.00023124,0.00023124,0.00023124
61,96.6831,0.05791,1,1,0.00132,0.000225736,0.000225736,0.000225736
62,98.2516,0.04355,1,1,0.00086,0.000220232,0.000220232,0.000220232
63,99.8413,0.03826,1,1,0.00041,0.000214727,0.000214727,0.000214727
64,101.386,0.02558,1,1,0.00043,0.000209223,0.000209223,0.000209223
65,103,0.02183,1,1,0.00048,0.000203718,0.000203718,0.000203718
66,104.598,0.01648,1,1,0.0009,0.000198214,0.000198214,0.000198214
67,106.203,0.0352,1,1,0.00093,0.00019271,0.00019271,0.00019271
68,107.841,0.02374,1,1,0.00069,0.000187205,0.000187205,0.000187205
69,109.429,0.02036,1,1,0.00024,0.000181701,0.000181701,0.000181701
70,111.008,0.02791,1,1,0.00115,0.000176196,0.000176196,0.000176196
71,112.617,0.02727,1,1,0.00063,0.000170692,0.000170692,0.000170692
72,114.271,0.02664,1,1,0.00135,0.000165188,0.000165188,0.000165188
73,115.791,0.03432,1,1,0.00104,0.000159683,0.000159683,0.000159683
74,117.389,0.03155,1,1,0.00127,0.000154179,0.000154179,0.000154179
75,119.071,0.03948,1,1,0.00182,0.000148674,0.000148674,0.000148674
76,120.603,0.02607,1,1,0.00168,0.00014317,0.00014317,0.00014317
77,122.111,0.02035,1,1,0.00179,0.000137666,0.000137666,0.000137666
78,123.62,0.02835,1,1,0.00031,0.000132161,0.000132161,0.000132161
79,125.276,0.04527,1,1,0.00039,0.000126657,0.000126657,0.000126657
80,126.794,0.04491,1,1,0.00081,0.000121152,0.000121152,0.000121152
81,128.269,0.04242,1,1,0.00072,0.000115648,0.000115648,0.000115648
82,129.956,0.01122,1,1,0.00071,0.000110144,0.000110144,0.000110144
83,131.461,0.0251,1,1,0.00054,0.000104639,0.000104639,0.000104639
84,132.945,0.02368,1,1,0.00044,9.91348e-05,9.91348e-05,9.91348e-05
85,134.447,0.02833,1,1,0.00041,9.36304e-05,9.36304e-05,9.36304e-05
86,135.765,0.02445,1,1,0.00031,8.8126e-05,8.8126e-05,8.8126e-05
87,137.289,0.02407,1,1,0.00028,8.26216e-05,8.26216e-05,8.26216e-05
88,138.838,0.02011,1,1,0.00024,7.71172e-05,7.71172e-05,7.71172e-05
89,140.422,0.0255,1,1,0.00013,7.16128e-05,7.16128e-05,7.16128e-05
90,141.931,0.03739,1,1,0.00017,6.61084e-05,6.61084e-05,6.61084e-05
91,143.931,0.02563,1,1,0.00026,6.0604e-05,6.0604e-05,6.0604e-05
92,145.569,0.04135,1,1,0.00034,5.50996e-05,5.50996e-05,5.50996e-05
93,147.027,0.0204,1,1,0.00021,4.95952e-05,4.95952e-05,4.95952e-05
94,148.629,0.0129,1,1,0.00033,4.40908e-05,4.40908e-05,4.40908e-05
95,150.218,0.00991,1,1,0.00015,3.85864e-05,3.85864e-05,3.85864e-05
96,151.755,0.02306,1,1,0.00021,3.3082e-05,3.3082e-05,3.3082e-05
97,153.311,0.01831,1,1,0.00018,2.75776e-05,2.75776e-05,2.75776e-05
98,154.999,0.03153,1,1,0.00023,2.20732e-05,2.20732e-05,2.20732e-05
99,156.51,0.02072,1,1,0.00016,1.65688e-05,1.65688e-05,1.65688e-05
100,158.08,0.02928,1,1,0.00023,1.10644e-05,1.10644e-05,1.10644e-05
